Archivo,Ejecución,Tamaño,Tiempo (s)
8hilos.doc,1,1000x1000,1.0870
8hilos.doc,2,1500x1500,4.2922
8hilos.doc,3,2000x2000,12.1060
8hilos.doc,4,2500x2500,21.9784
8hilos.doc,5,3000x3000,44.1832
8hilos.doc,6,3500x3500,62.3125
8hilos.doc,7,4000x4000,108.3658
8hilos.doc,8,4500x4500,143.0793
8hilos.doc,9,5000x5000,216.6861
8hilos.doc,10,1000x1000,1.0863
8hilos.doc,11,1500x1500,4.3244
8hilos.doc,12,2000x2000,12.2324
8hilos.doc,13,2500x2500,22.0815
8hilos.doc,14,3000x3000,44.4233
8hilos.doc,15,3500x3500,62.3030
8hilos.doc,16,4000x4000,108.8921
8hilos.doc,17,4500x4500,142.2639
8hilos.doc,18,5000x5000,215.4139
8hilos.doc,19,1000x1000,1.0964
8hilos.doc,20,1500x1500,4.3531
8hilos.doc,21,2000x2000,12.1860
8hilos.doc,22,2500x2500,22.1056
8hilos.doc,23,3000x3000,44.1421
8hilos.doc,24,3500x3500,62.6785
8hilos.doc,25,4000x4000,108.1413
8hilos.doc,26,4500x4500,141.5649
8hilos.doc,27,5000x5000,214.8050
8hilos.doc,28,1000x1000,1.0990
8hilos.doc,29,1500x1500,4.3199
8hilos.doc,30,2000x2000,12.1762
8hilos.doc,31,2500x2500,21.9972
8hilos.doc,32,3000x3000,44.1262
8hilos.doc,33,3500x3500,62.1065
8hilos.doc,34,4000x4000,107.8128
8hilos.doc,35,4500x4500,142.4976
8hilos.doc,36,5000x5000,215.5814
8hilos.doc,37,1000x1000,1.0638
8hilos.doc,38,1500x1500,4.3087
8hilos.doc,39,2000x2000,12.1204
8hilos.doc,40,2500x2500,21.9270
8hilos.doc,41,3000x3000,44.0362
8hilos.doc,42,3500x3500,62.3252
8hilos.doc,43,4000x4000,107.6413
8hilos.doc,44,4500x4500,142.3368
8hilos.doc,45,5000x5000,214.6184
8hilos.doc,46,1000x1000,1.1156
8hilos.doc,47,1500x1500,4.4436
8hilos.doc,48,2000x2000,12.3038
8hilos.doc,49,2500x2500,22.3811
8hilos.doc,50,3000x3000,44.3685
8hilos.doc,51,3500x3500,62.2833
8hilos.doc,52,4000x4000,107.5651
8hilos.doc,53,4500x4500,141.1211
8hilos.doc,54,5000x5000,217.3996
8hilos.doc,55,1000x1000,1.0953
8hilos.doc,56,1500x1500,4.2753
8hilos.doc,57,2000x2000,11.7064
8hilos.doc,58,2500x2500,20.8161
8hilos.doc,59,3000x3000,38.5685
8hilos.doc,60,3500x3500,57.6504
8hilos.doc,61,4000x4000,91.5884
8hilos.doc,62,4500x4500,123.2032
