Run,Mode,Workers,K,NK,Iteraciones,Tiempo(s),Error_Jacobi,Error_Discretizacion
1,threads,4,1,3,1,0.000359,0,0.0297466
1,threads,4,2,5,43,0.002112,8.92018e-08,0.00869653
1,threads,4,3,9,188,0.001823,9.82294e-08,0.00231152
1,threads,4,4,17,768,0.008683,1.00098e-07,0.00059568
1,threads,4,5,33,3088,0.035086,1.01253e-07,0.000151292
1,threads,4,5,33,3088,0.033946,1.01253e-07,0.000151292
1,threads,4,7,129,49520,0.551098,1.01324e-07,9.66047e-06
1,threads,4,8,257,198122,2.394750,1.01316e-07,2.4953e-06
1,threads,4,9,513,792553,11.131737,1.0132e-07,7.00003e-07
1,threads,4,10,1025,1000000,15.719736,0.0027643,0.00276444
1,threads,4,11,2049,1000000,19.781824,0.0943204,0.0943205
1,threads,4,12,4097,1000000,27.065826,0.228653,0.228653
1,threads,4,1,3,1,0.000301,0,0.0297466
1,threads,4,2,5,43,0.002052,8.92018e-08,0.00869653
1,threads,4,3,9,188,0.002432,9.82294e-08,0.00231152
1,threads,4,4,17,768,0.008609,1.00098e-07,0.00059568
1,threads,4,5,33,3088,0.038111,1.01253e-07,0.000151292
1,threads,4,7,129,49520,0.587607,1.01324e-07,9.66047e-06
1,threads,4,8,257,198122,2.473187,1.01316e-07,2.4953e-06
1,threads,4,9,513,792553,10.415716,1.0132e-07,7.00003e-07
1,threads,4,10,1025,1000000,14.617255,0.0027643,0.00276444
1,threads,4,11,2049,1000000,17.906745,0.0943204,0.0943205
1,threads,4,12,4097,1000000,23.978828,0.228653,0.228653
1,threads,4,13,8193,1000000,39.302241,0.287577,0.287577
1,threads,4,14,16385,1000000,68.780054,0.305459,0.305459
1,threads,4,15,32769,1000000,128.929078,0.310239,0.310239
1,threads,4,16,65537,1000000,249.331925,0.311461,0.311461
1,threads,4,17,131073,1000000,494.241157,0.311768,0.311768
2,threads,4,1,3,1,0.000117,0,0.0297466
2,threads,4,2,5,43,0.000731,8.92018e-08,0.00869653
2,threads,4,3,9,188,0.002222,9.82294e-08,0.00231152
2,threads,4,4,17,768,0.008526,1.00098e-07,0.00059568
2,threads,4,5,33,3088,0.032708,1.01253e-07,0.000151292
2,threads,4,7,129,49520,0.487492,1.01324e-07,9.66047e-06
2,threads,4,8,257,198122,2.339521,1.01316e-07,2.4953e-06
2,threads,4,9,513,792553,10.484183,1.0132e-07,7.00003e-07
2,threads,4,10,1025,1000000,15.855826,0.0027643,0.00276444
2,threads,4,11,2049,1000000,18.711984,0.0943204,0.0943205
2,threads,4,12,4097,1000000,26.284434,0.228653,0.228653
2,threads,4,13,8193,1000000,40.697119,0.287577,0.287577
2,threads,4,14,16385,1000000,71.201817,0.305459,0.305459
2,threads,4,15,32769,1000000,131.469930,0.310239,0.310239
2,threads,4,16,65537,1000000,253.007682,0.311461,0.311461
2,threads,4,17,131073,1000000,494.528802,0.311768,0.311768
3,threads,4,1,3,1,0.000095,0,0.0297466
3,threads,4,2,5,43,0.000636,8.92018e-08,0.00869653
3,threads,4,3,9,188,0.002078,9.82294e-08,0.00231152
3,threads,4,4,17,768,0.009730,1.00098e-07,0.00059568
3,threads,4,5,33,3088,0.036638,1.01253e-07,0.000151292
3,threads,4,7,129,49520,0.553547,1.01324e-07,9.66047e-06
3,threads,4,8,257,198122,2.293634,1.01316e-07,2.4953e-06
3,threads,4,9,513,792553,10.404322,1.0132e-07,7.00003e-07
3,threads,4,10,1025,1000000,15.040205,0.0027643,0.00276444
3,threads,4,11,2049,1000000,18.666610,0.0943204,0.0943205
3,threads,4,12,4097,1000000,26.240114,0.228653,0.228653
3,threads,4,13,8193,1000000,40.550333,0.287577,0.287577
3,threads,4,14,16385,1000000,70.710165,0.305459,0.305459
3,threads,4,15,32769,1000000,132.104468,0.310239,0.310239
3,threads,4,16,65537,1000000,252.644990,0.311461,0.311461
3,threads,4,17,131073,1000000,494.193816,0.311768,0.311768
4,threads,4,1,3,1,0.000127,0,0.0297466
4,threads,4,2,5,43,0.000499,8.92018e-08,0.00869653
4,threads,4,3,9,188,0.002718,9.82294e-08,0.00231152
4,threads,4,4,17,768,0.008143,1.00098e-07,0.00059568
4,threads,4,5,33,3088,0.031007,1.01253e-07,0.000151292
4,threads,4,7,129,49520,0.552385,1.01324e-07,9.66047e-06
4,threads,4,8,257,198122,2.297495,1.01316e-07,2.4953e-06
4,threads,4,9,513,792553,10.365424,1.0132e-07,7.00003e-07
4,threads,4,10,1025,1000000,15.080286,0.0027643,0.00276444
4,threads,4,11,2049,1000000,19.302310,0.0943204,0.0943205
4,threads,4,12,4097,1000000,25.984693,0.228653,0.228653
4,threads,4,13,8193,1000000,41.793954,0.287577,0.287577
4,threads,4,14,16385,1000000,71.139308,0.305459,0.305459
4,threads,4,15,32769,1000000,130.323776,0.310239,0.310239
4,threads,4,16,65537,1000000,251.028439,0.311461,0.311461
4,threads,4,17,131073,1000000,491.607924,0.311768,0.311768

