Run,K,NK,Iteraciones,Tiempo(s),Error_Jacobi,Error_Discretizacion
1,1,3,1,0.000018,0,0.0297466
1,2,5,43,0.000021,8.92018e-08,0.00869653
1,3,9,188,0.000031,9.82294e-08,0.00231152
1,4,17,768,0.000126,1.00098e-07,0.00059568
1,5,33,3088,0.000962,1.01253e-07,0.000151292
1,5,33,3088,0.000960,1.01253e-07,0.000151292
1,7,129,49520,0.061815,1.01324e-07,9.66047e-06
1,8,257,198122,0.447892,1.01316e-07,2.4953e-06
1,9,513,792553,3.828641,1.0132e-07,7.00003e-07
1,1,3,1,0.000022,0,0.0297466
1,2,5,43,0.000018,8.92018e-08,0.00869653
1,3,9,188,0.000029,9.82294e-08,0.00231152
1,4,17,768,0.000165,1.00098e-07,0.00059568
1,5,33,3088,0.000950,1.01253e-07,0.000151292
1,5,33,3088,0.000965,1.01253e-07,0.000151292
1,7,129,49520,0.060468,1.01324e-07,9.66047e-06
1,8,257,198122,0.454933,1.01316e-07,2.4953e-06
1,9,513,792553,3.781627,1.0132e-07,7.00003e-07
1,10,1025,1000000,9.464816,0.0027643,0.00276444
1,11,2049,1000000,18.600341,0.0943204,0.0943205
1,12,4097,1000000,35.164223,0.228653,0.228653
1,13,8193,1000000,70.426059,0.287577,0.287577
1,14,16385,1000000,143.063416,0.305459,0.305459
1,15,32769,1000000,291.706361,0.310239,0.310239
1,16,65537,1000000,588.624321,0.311461,0.311461
1,17,131073,1000000,1197.002482,0.311768,0.311768
2,1,3,1,0.000016,0,0.0297466
2,2,5,43,0.000026,8.92018e-08,0.00869653
2,3,9,188,0.000048,9.82294e-08,0.00231152
2,4,17,768,0.000258,1.00098e-07,0.00059568
2,5,33,3088,0.003811,1.01253e-07,0.000151292
2,5,33,3088,0.003493,1.01253e-07,0.000151292
2,7,129,49520,0.180120,1.01324e-07,9.66047e-06
2,8,257,198122,0.650384,1.01316e-07,2.4953e-06
2,9,513,792553,3.724454,1.0132e-07,7.00003e-07
2,10,1025,1000000,9.529984,0.0027643,0.00276444
2,11,2049,1000000,17.586795,0.0943204,0.0943205
2,12,4097,1000000,38.307334,0.228653,0.228653
2,13,8193,1000000,70.435696,0.287577,0.287577
2,14,16385,1000000,147.579538,0.305459,0.305459
2,15,32769,1000000,293.876716,0.310239,0.310239
2,16,65537,1000000,587.197024,0.311461,0.311461
2,17,131073,1000000,1202.842412,0.311768,0.311768
3,1,3,1,0.000020,0,0.0297466
3,2,5,43,0.000022,8.92018e-08,0.00869653
3,3,9,188,0.000033,9.82294e-08,0.00231152
3,4,17,768,0.000172,1.00098e-07,0.00059568
3,5,33,3088,0.001518,1.01253e-07,0.000151292
3,5,33,3088,0.002397,1.01253e-07,0.000151292
