cells,steps,density,threads_or_ranks,wall_time
5000000,500,0.30,4,2.107982
5000000,500,0.30,4,2.319652
5000000,500,0.30,4,2.135035
5000000,500,0.30,4,2.094754
5000000,500,0.30,4,2.139881
5000000,500,0.30,4,2.115979
5000000,500,0.30,4,2.457118
5000000,500,0.30,4,2.234636
5000000,500,0.30,4,2.151437
5000000,500,0.30,4,2.562481
5000000,500,0.30,4,2.167756
5000000,500,0.30,4,2.166493
5000000,500,0.30,4,2.180889
5000000,500,0.30,4,2.224593
5000000,500,0.30,4,2.148331
5000000,500,0.30,4,2.180347
5000000,500,0.30,4,2.188624
5000000,500,0.30,4,2.203900
5000000,500,0.30,4,2.214771
5000000,500,0.30,4,2.197316
5000000,500,0.30,4,2.218136
5000000,500,0.30,4,2.216770
5000000,500,0.30,4,2.198927
5000000,500,0.30,4,2.181571
5000000,500,0.30,4,2.181088
5000000,500,0.30,4,2.202666
5000000,500,0.30,4,2.223516
5000000,500,0.30,4,2.214700
5000000,500,0.30,4,2.234197
5000000,500,0.30,4,2.504717
5000000,500,0.30,4,2.229513
5000000,500,0.30,4,2.257992
5000000,500,0.30,4,2.248933
5000000,500,0.30,4,2.223847
5000000,500,0.30,4,2.222566
5000000,500,0.30,4,2.220739
5000000,500,0.30,4,2.261467
5000000,500,0.30,4,2.219565
5000000,500,0.30,4,2.232864
5000000,500,0.30,4,2.214282
5000000,500,0.30,4,2.238008
5000000,500,0.30,4,2.207258
5000000,500,0.30,4,2.233739
5000000,500,0.30,4,2.235016
5000000,500,0.30,4,2.282862
5000000,500,0.30,4,2.243104
5000000,500,0.30,4,2.335865
5000000,500,0.30,4,2.247383
5000000,500,0.30,4,2.240709
5000000,500,0.30,4,2.264594
10000000,500,0.30,4,4.560389
10000000,500,0.30,4,5.609032
10000000,500,0.30,4,4.692488
10000000,500,0.30,4,5.210612
10000000,500,0.30,4,4.564403
10000000,500,0.30,4,4.553399
10000000,500,0.30,4,4.711578
10000000,500,0.30,4,4.699640
10000000,500,0.30,4,4.582730
10000000,500,0.30,4,5.951549
10000000,500,0.30,4,5.852323
10000000,500,0.30,4,5.047093
10000000,500,0.30,4,5.186794
10000000,500,0.30,4,4.842042
10000000,500,0.30,4,4.689450
10000000,500,0.30,4,4.736082
10000000,500,0.30,4,4.835454
10000000,500,0.30,4,6.158612
10000000,500,0.30,4,5.004991
10000000,500,0.30,4,5.075806
10000000,500,0.30,4,4.790261
10000000,500,0.30,4,4.798765
10000000,500,0.30,4,4.634412
10000000,500,0.30,4,4.652352
10000000,500,0.30,4,4.687051
10000000,500,0.30,4,4.627939
10000000,500,0.30,4,4.722463
10000000,500,0.30,4,4.629073
10000000,500,0.30,4,4.609458
10000000,500,0.30,4,5.179054
10000000,500,0.30,4,4.640979
10000000,500,0.30,4,4.619550
10000000,500,0.30,4,4.621689
10000000,500,0.30,4,5.253759
10000000,500,0.30,4,4.657464
10000000,500,0.30,4,4.631094
10000000,500,0.30,4,4.638759
10000000,500,0.30,4,4.629387
10000000,500,0.30,4,4.599339
10000000,500,0.30,4,4.616435
10000000,500,0.30,4,4.623466
10000000,500,0.30,4,4.635536
10000000,500,0.30,4,4.580413
10000000,500,0.30,4,4.694539
10000000,500,0.30,4,4.553664
10000000,500,0.30,4,4.594071
10000000,500,0.30,4,4.624666
10000000,500,0.30,4,4.601261
10000000,500,0.30,4,5.056786
