cells,steps,density,threads_or_ranks,wall_time
5000000,500,0.30,4,0.212297
5000000,500,0.30,4,0.347493
5000000,500,0.30,4,0.245293
5000000,500,0.30,4,0.284652
5000000,500,0.30,4,0.188518
5000000,500,0.30,4,0.205928
5000000,500,0.30,4,0.253045
5000000,500,0.30,4,0.193042
5000000,500,0.30,4,0.190055
5000000,500,0.30,4,0.189876
5000000,500,0.30,4,0.205338
5000000,500,0.30,4,0.187560
5000000,500,0.30,4,0.201087
5000000,500,0.30,4,0.188724
5000000,500,0.30,4,0.188363
5000000,500,0.30,4,0.188061
5000000,500,0.30,4,0.189155
5000000,500,0.30,4,0.186975
5000000,500,0.30,4,0.191546
5000000,500,0.30,4,0.196212
5000000,500,0.30,4,0.188556
5000000,500,0.30,4,0.190752
5000000,500,0.30,4,0.188381
5000000,500,0.30,4,0.188763
5000000,500,0.30,4,0.200164
5000000,500,0.30,4,0.193091
5000000,500,0.30,4,0.194924
5000000,500,0.30,4,0.190742
5000000,500,0.30,4,0.188756
5000000,500,0.30,4,0.277907
5000000,500,0.30,4,0.196974
5000000,500,0.30,4,0.288515
5000000,500,0.30,4,0.190862
5000000,500,0.30,4,0.187233
5000000,500,0.30,4,0.188235
5000000,500,0.30,4,0.189531
5000000,500,0.30,4,0.188404
5000000,500,0.30,4,0.192603
5000000,500,0.30,4,0.188142
5000000,500,0.30,4,0.189228
5000000,500,0.30,4,0.188199
5000000,500,0.30,4,0.188919
5000000,500,0.30,4,0.189107
5000000,500,0.30,4,0.192935
5000000,500,0.30,4,0.189669
5000000,500,0.30,4,0.192838
5000000,500,0.30,4,0.189492
5000000,500,0.30,4,0.188359
5000000,500,0.30,4,0.189395
5000000,500,0.30,4,0.189603
10000000,500,0.30,4,0.807080
10000000,500,0.30,4,0.636854
10000000,500,0.30,4,0.561107
10000000,500,0.30,4,0.431215
10000000,500,0.30,4,0.423798
10000000,500,0.30,4,0.424704
10000000,500,0.30,4,0.922042
10000000,500,0.30,4,0.428540
10000000,500,0.30,4,0.538487
10000000,500,0.30,4,0.974521
10000000,500,0.30,4,0.786023
10000000,500,0.30,4,0.488011
10000000,500,0.30,4,0.546923
10000000,500,0.30,4,0.432402
10000000,500,0.30,4,0.489299
10000000,500,0.30,4,0.799731
10000000,500,0.30,4,0.593916
10000000,500,0.30,4,0.926891
10000000,500,0.30,4,0.629442
10000000,500,0.30,4,0.575809
10000000,500,0.30,4,0.545896
10000000,500,0.30,4,0.435342
10000000,500,0.30,4,0.415443
10000000,500,0.30,4,0.443168
10000000,500,0.30,4,0.437148
10000000,500,0.30,4,0.426793
10000000,500,0.30,4,0.442284
10000000,500,0.30,4,0.795121
10000000,500,0.30,4,0.797003
10000000,500,0.30,4,0.433274
10000000,500,0.30,4,0.442250
10000000,500,0.30,4,0.432207
10000000,500,0.30,4,0.431575
10000000,500,0.30,4,0.605654
10000000,500,0.30,4,0.437975
10000000,500,0.30,4,0.803183
10000000,500,0.30,4,0.443069
10000000,500,0.30,4,0.433223
10000000,500,0.30,4,0.424781
10000000,500,0.30,4,0.428525
10000000,500,0.30,4,0.425902
10000000,500,0.30,4,0.436321
10000000,500,0.30,4,0.796376
10000000,500,0.30,4,0.436962
10000000,500,0.30,4,0.434563
10000000,500,0.30,4,0.795586
10000000,500,0.30,4,0.426202
10000000,500,0.30,4,0.801290
10000000,500,0.30,4,0.584218
10000000,500,0.30,4,0.424241
15000000,500,0.30,4,0.705303
15000000,500,0.30,4,0.712047
15000000,500,0.30,4,0.838282
15000000,500,0.30,4,0.882790
15000000,500,0.30,4,0.686535
15000000,500,0.30,4,0.713312
15000000,500,0.30,4,0.683596
15000000,500,0.30,4,1.016412
15000000,500,0.30,4,1.034386
15000000,500,0.30,4,0.998261
15000000,500,0.30,4,0.700186
15000000,500,0.30,4,0.962085
15000000,500,0.30,4,1.128408
15000000,500,0.30,4,0.677346
15000000,500,0.30,4,0.687201
15000000,500,0.30,4,0.673058
15000000,500,0.30,4,1.139823
15000000,500,0.30,4,1.180796
15000000,500,0.30,4,0.686308
15000000,500,0.30,4,0.680059
15000000,500,0.30,4,0.693915
15000000,500,0.30,4,0.693419
15000000,500,0.30,4,1.010346
