cells,steps,density,threads_or_ranks,wall_time
10000000,500,0.30,1,10.193824
10000000,500,0.30,1,9.682407
10000000,500,0.30,1,9.667593
10000000,500,0.30,1,9.649895
10000000,500,0.30,1,10.033924
10000000,500,0.30,1,10.019129
10000000,500,0.30,1,9.613833
10000000,500,0.30,1,9.615459
10000000,500,0.30,1,9.607779
10000000,500,0.30,1,9.621157
10000000,1000,0.30,1,19.647194
10000000,1000,0.30,1,20.570084
10000000,1000,0.30,1,21.491914
10000000,1000,0.30,1,21.194333
10000000,1000,0.30,1,19.401244
10000000,1000,0.30,1,19.869596
10000000,1000,0.30,1,20.460569
10000000,1000,0.30,1,18.961081
10000000,1000,0.30,1,19.896827
10000000,1000,0.30,1,19.437708
10000000,2000,0.30,1,41.188533
10000000,2000,0.30,1,39.451511
10000000,2000,0.30,1,37.813266
10000000,2000,0.30,1,38.585223
10000000,2000,0.30,1,37.535467
10000000,2000,0.30,1,37.630300
10000000,2000,0.30,1,37.748510
10000000,2000,0.30,1,38.373919
10000000,2000,0.30,1,39.951887
10000000,2000,0.30,1,38.835991
10000000,3000,0.30,1,58.116971
10000000,3000,0.30,1,60.164377
10000000,3000,0.30,1,57.447339
10000000,3000,0.30,1,58.888828
10000000,3000,0.30,1,58.147420
10000000,3000,0.30,1,57.561387
10000000,3000,0.30,1,59.755862
10000000,3000,0.30,1,61.960156
10000000,3000,0.30,1,60.630716
10000000,3000,0.30,1,59.032395
10000000,4000,0.30,1,80.151928
10000000,4000,0.30,1,80.248363
10000000,4000,0.30,1,79.643732
10000000,4000,0.30,1,80.559129
10000000,4000,0.30,1,80.167892
10000000,4000,0.30,1,80.667067
10000000,4000,0.30,1,77.896083
10000000,4000,0.30,1,78.006721
10000000,4000,0.30,1,74.701230
10000000,4000,0.30,1,74.426400
10000000,5000,0.30,1,92.776162
10000000,5000,0.30,1,99.168138
10000000,5000,0.30,1,95.301413
10000000,5000,0.30,1,95.146666
10000000,5000,0.30,1,95.053749
10000000,5000,0.30,1,99.692007
10000000,5000,0.30,1,95.909555
10000000,5000,0.30,1,94.803012
10000000,5000,0.30,1,99.833342
10000000,5000,0.30,1,93.270132
15000000,1000,0.30,1,28.301124
15000000,1000,0.30,1,28.146229
15000000,1000,0.30,1,28.161576
15000000,1000,0.30,1,28.190738
15000000,1000,0.30,1,28.256451
15000000,1000,0.30,1,28.272249
15000000,1000,0.30,1,28.252690
15000000,1000,0.30,1,28.156606
