Archivo,Ejecución,Tamaño,Tiempo (s)
2hilos.doc,1,1000x1000,1.8619
2hilos.doc,2,1500x1500,8.1589
2hilos.doc,3,2000x2000,25.4372
2hilos.doc,4,2500x2500,46.2487
2hilos.doc,5,3000x3000,89.9402
2hilos.doc,6,3500x3500,123.8815
2hilos.doc,7,4000x4000,216.7921
2hilos.doc,8,4500x4500,247.1849
2hilos.doc,9,5000x5000,433.7839
2hilos.doc,10,1000x1000,1.9894
2hilos.doc,11,1500x1500,8.3041
2hilos.doc,12,2000x2000,25.0305
2hilos.doc,13,2500x2500,46.9122
2hilos.doc,14,3000x3000,91.3727
2hilos.doc,15,3500x3500,128.8765
2hilos.doc,16,4000x4000,219.1024
2hilos.doc,17,4500x4500,282.9033
2hilos.doc,18,5000x5000,434.2337
2hilos.doc,19,1000x1000,1.9439
2hilos.doc,20,1500x1500,7.7406
2hilos.doc,21,2000x2000,25.3075
2hilos.doc,22,2500x2500,45.6179
2hilos.doc,23,3000x3000,90.8876
2hilos.doc,24,3500x3500,127.3078
2hilos.doc,25,4000x4000,217.5618
2hilos.doc,26,4500x4500,281.8991
2hilos.doc,27,5000x5000,437.4927
2hilos.doc,28,1000x1000,1.8848
2hilos.doc,29,1500x1500,8.1486
2hilos.doc,30,2000x2000,25.3571
2hilos.doc,31,2500x2500,45.2708
2hilos.doc,32,3000x3000,90.6861
2hilos.doc,33,3500x3500,128.8062
2hilos.doc,34,4000x4000,217.9721
2hilos.doc,35,4500x4500,282.2608
2hilos.doc,36,5000x5000,403.8498
2hilos.doc,37,1000x1000,1.8996
2hilos.doc,38,1500x1500,8.2865
2hilos.doc,39,2000x2000,25.6655
2hilos.doc,40,2500x2500,45.7155
2hilos.doc,41,3000x3000,91.4620
2hilos.doc,42,3500x3500,127.0356
2hilos.doc,43,4000x4000,215.4968
2hilos.doc,44,4500x4500,285.0520
2hilos.doc,45,5000x5000,429.7486
2hilos.doc,46,1000x1000,1.9144
2hilos.doc,47,1500x1500,8.2055
2hilos.doc,48,2000x2000,25.0344
2hilos.doc,49,2500x2500,45.7931
2hilos.doc,50,3000x3000,91.3195
2hilos.doc,51,3500x3500,124.4114
2hilos.doc,52,4000x4000,219.5096
2hilos.doc,53,4500x4500,284.4517
2hilos.doc,54,5000x5000,427.7367
2hilos.doc,55,1000x1000,2.0341
2hilos.doc,56,1500x1500,8.0406
2hilos.doc,57,2000x2000,24.9230
2hilos.doc,58,2500x2500,46.9375
2hilos.doc,59,3000x3000,91.3967
2hilos.doc,60,3500x3500,127.0138
2hilos.doc,61,4000x4000,218.9031
2hilos.doc,62,4500x4500,272.9229
2hilos.doc,63,5000x5000,434.5161
2hilos.doc,64,1000x1000,2.1786
2hilos.doc,65,1500x1500,8.0730
2hilos.doc,66,2000x2000,43.8947
2hilos.doc,67,2500x2500,52.4994
2hilos.doc,68,3000x3000,103.2493
2hilos.doc,69,3500x3500,139.1317
2hilos.doc,70,4000x4000,242.5050
2hilos.doc,71,4500x4500,311.0695
2hilos.doc,72,5000x5000,464.2965
2hilos.doc,73,1000x1000,2.2773
2hilos.doc,74,1500x1500,8.9302
2hilos.doc,75,2000x2000,27.0671
2hilos.doc,76,2500x2500,53.4145
2hilos.doc,77,3000x3000,103.1672
2hilos.doc,78,3500x3500,155.7349
2hilos.doc,79,4000x4000,238.6612
2hilos.doc,80,4500x4500,320.4024
2hilos.doc,81,5000x5000,476.8893
2hilos.doc,82,1000x1000,2.0830
2hilos.doc,83,1500x1500,8.3940
2hilos.doc,84,2000x2000,28.4093
2hilos.doc,85,2500x2500,47.6951
2hilos.doc,86,3000x3000,94.9387
2hilos.doc,87,3500x3500,134.5735
2hilos.doc,88,4000x4000,228.4096
2hilos.doc,89,4500x4500,290.5353
2procesos.doc,1,1000x1000,1.7531
2procesos.doc,2,1500x1500,6.7762
2procesos.doc,3,2000x2000,12.4834
2procesos.doc,4,1000x1000,1.3469
2procesos.doc,5,1500x1500,6.4367
2procesos.doc,6,2000x2000,12.2598
2procesos.doc,7,2500x2500,35.4366
2procesos.doc,8,3000x3000,50.4536
2procesos.doc,9,3500x3500,102.0789
2procesos.doc,10,4000x4000,117.2953
2procesos.doc,11,4500x4500,220.4854
2procesos.doc,12,5000x5000,256.3029
2procesos.doc,13,1000x1000,1.4627
2procesos.doc,14,1500x1500,6.6195
2procesos.doc,15,2000x2000,13.0176
2procesos.doc,16,2500x2500,36.2004
2procesos.doc,17,3000x3000,52.6362
2procesos.doc,18,3500x3500,102.6270
2procesos.doc,19,4000x4000,119.0864
2procesos.doc,20,4500x4500,222.8925
2procesos.doc,21,5000x5000,259.1862
2procesos.doc,22,1000x1000,1.4305
2procesos.doc,23,1500x1500,6.9590
2procesos.doc,24,2000x2000,12.6921
2procesos.doc,25,2500x2500,35.5942
2procesos.doc,26,3000x3000,51.9142
2procesos.doc,27,3500x3500,103.2424
2procesos.doc,28,4000x4000,118.3606
2procesos.doc,29,4500x4500,222.5738
2procesos.doc,30,5000x5000,258.8497
2procesos.doc,31,1000x1000,1.4689
2procesos.doc,32,1500x1500,6.6133
2procesos.doc,33,2000x2000,12.9915
2procesos.doc,34,2500x2500,36.2444
2procesos.doc,35,3000x3000,53.0166
2procesos.doc,36,3500x3500,102.1164
2procesos.doc,37,4000x4000,118.7170
2procesos.doc,38,4500x4500,222.5776
2procesos.doc,39,5000x5000,256.5358
2procesos.doc,40,1000x1000,1.4319
2procesos.doc,41,1500x1500,6.6712
2procesos.doc,42,2000x2000,12.8795
2procesos.doc,43,2500x2500,36.1042
2procesos.doc,44,3000x3000,51.7408
2procesos.doc,45,3500x3500,103.2424
2procesos.doc,46,4000x4000,118.1933
2procesos.doc,47,4500x4500,218.5130
2procesos.doc,48,5000x5000,258.9555
2procesos.doc,49,1000x1000,1.4237
2procesos.doc,50,1500x1500,6.7102
2procesos.doc,51,2000x2000,12.4736
2procesos.doc,52,2500x2500,35.6282
2procesos.doc,53,3000x3000,51.9532
2procesos.doc,54,3500x3500,102.3434
2procesos.doc,55,4000x4000,118.4791
2procesos.doc,56,4500x4500,222.1206
2procesos.doc,57,5000x5000,256.2736
